screen_name,tweet_count,mean_like_count,mean_reply_count,mean_retweet_count,mean_quote_count
Reddington_LA,38,868.2894736842105,42.23684210526316,141.55263157894737,3.8421052631578947
Revolution_R_,138,303.5289855072464,15.652173913043478,59.21739130434783,2.1159420289855073
RezaAhmadi_Lion,1,105.0,3.0,26.0,1.0
RezaRez11109331,40,120.65,4.025,45.15,1.2
RezaS27,11,138.45454545454547,6.181818181818182,18.272727272727273,1.0909090909090908
RezaS49,56,22.303571428571427,1.0178571428571428,6.375,0.14285714285714285
RezaSensourfree,162,1.6296296296296295,0.037037037037037035,0.25308641975308643,0.006172839506172839
RezaVaisi,1,577.0,301.0,236.0,79.0
Reza__Soleimani,1,81.0,4.0,8.0,1.0
Rezahashemi1919,227,17.026431718061673,1.502202643171806,4.409691629955947,0.16740088105726872
Roobahyab1,3,130.0,47.333333333333336,50.333333333333336,10.666666666666666
RosebudDonKhoan,105,61.695238095238096,4.485714285714286,11.00952380952381,0.5523809523809524
Roshanaeii,12,194.5,5.0,29.166666666666668,1.25
Rppress0,99,110.76767676767676,2.202020202020202,21.04040404040404,0.8080808080808081
RufusBeyn,2,136.5,10.5,32.5,1.0
RustaMasoud,31,1.3225806451612903,0.4838709677419355,0.25806451612903225,0.0
SARBAZEH_VATAN1,7,194.57142857142858,13.285714285714286,21.142857142857142,1.4285714285714286
SFaeze_Alavi,65,818.2461538461539,18.73846153846154,128.0,2.723076923076923
SGhasseminejad,13,3571.230769230769,182.84615384615384,713.0769230769231,26.384615384615383
SHAHIAVID,10,32.4,2.9,13.0,2.7
SHAYA9000,18,701.6666666666666,21.22222222222222,115.44444444444444,2.4444444444444446
SaamGivrad,1,736.0,23.0,59.0,6.0
SabaBakhtyari,10,3461.9,65.4,849.6,15.0
Sadaf__12,1,1.0,0.0,0.0,0.0
Saeed48920740,3,8.333333333333334,1.3333333333333333,0.3333333333333333,0.3333333333333333
