screen_name,has_profile,has_raw_tweet,has_temporal,has_graph
piroozii6,True,False,True,False
tokhmishokkhmi,True,False,True,False
_sabz666,True,False,True,False
neltu20mm,True,False,True,False
AmirA372165,True,False,True,False
RosslynKn9,True,False,True,False
SherlockSh1202,True,False,True,False
by6qd26cnz,True,False,True,False
IranSwastika,True,False,True,False
MarioNawfal,True,False,True,False
babakkhoram01,True,False,True,False
sun135570,True,False,True,False
Khizesh_mardomi,True,False,True,False
parvin17647,True,False,True,False
Shohre585459351,True,False,True,True
iran22851566,True,True,True,False
Havenochoi50795,True,False,True,False
senooranIR,True,False,True,False
ANONYMOUSACE006,True,False,True,False
homeyramis,True,True,True,False
SaiedehSaideh59,True,True,True,True
IranKhan000m,True,False,True,False
mamoli134821,True,False,True,True
Narciss06615487,True,False,True,False
khahare_babi,True,False,True,False
AlMayadeenLive,True,False,True,False
DaemonTargryenn,True,False,True,False
soroush_mary,True,True,True,False
talaye738,True,True,True,False
MrJamesKingdom2,True,False,True,False
CemalK25777Cema,True,True,True,False
YourAnonCentral,True,False,True,False
EzmiroMonique,True,False,True,False
mitra1299075,True,False,True,True
i_AkbarBadshah,True,False,True,False
Mard_e_kohan,True,False,True,False
KakumeiShin,True,False,True,False
psychology49590,True,False,True,False
azad3822217,True,False,True,False
Cassandana22,True,False,True,False
Robiiin_Hoodx,True,False,True,False
AvaMahoor,True,False,True,False
soniairani1365,True,False,True,False
4CKIUI,True,False,True,False
KingAchaemenian,True,False,True,True
NadrZandi,True,False,True,False
fatemeh83230933,True,False,True,False
52_HZ_WHAALE,True,False,True,False
Alijan385903,True,False,True,False
FairyM12,True,False,True,False
vianack22,True,False,True,False
Mohadeseh1133,True,True,True,False
PAladiNIran,True,False,True,False
hawksinister,True,False,True,False
sygarfrwsh70584,True,False,True,False
FTfwydy51514,True,False,True,True
AngelIrania,True,False,True,True
ssoltani4,True,False,True,False
Pantea_t1,True,False,True,False
AfshinVafadar7,True,False,True,False
kamyar922,True,False,True,False
trgryn17URO,True,False,True,False
StealthMedical1,True,False,True,False
MadameFigarO3,True,False,True,False
PanteaRasouli,True,True,True,True
dadmehr_37,True,False,True,False
ShehabNany,True,False,True,False
hsbzypwr,True,False,True,False
Azam4freedom,True,False,True,True
veyselkripto,True,False,True,False
mahm69286,True,False,True,False
KhujyB15150,True,False,True,True
fardinpage,True,False,True,False
unknownman058,True,False,True,False
sasan5066461056,True,False,True,False
RpsAgainstTrump,True,False,True,False
llftt142462,True,False,True,False
MFshfshh71601,True,True,True,False
BrandieWithABee,True,False,True,False
JewishWarrior13,True,False,True,False
FXMNDLSN,True,True,True,False
maziyarpahlavan,True,False,True,True
manpou1400,True,False,True,False
Godfreedomiran8,True,False,True,False
MTanha03530340,True,False,True,False
iranianpatrio1,True,False,True,False
Amam_Sik,True,False,True,False
armanshahriari,True,False,True,False
PRSTARKOCHOLO,True,False,True,False
H_2Arya,True,True,True,False
Parnim4,True,False,True,False
WtnJanm,True,False,True,False
GILDA39076914,True,False,True,True
sandys_khor,True,True,True,False
Romrom00467453,True,False,True,False
Mahmoud55791825,True,True,True,False
SkyNewsArabia_B,True,False,True,False
sushiant10,True,False,True,False
AtumSun,True,False,True,False
VoiceOfVoicels,True,False,True,False
calllmejanan,True,False,True,True
babak19p,True,False,True,False
Nave_khann,True,False,True,False
Shadnaz79,True,False,True,False
jm58_13jk,True,False,True,False
Elham42302688,True,False,True,False
ariae007,True,False,True,False
Oliwertuist,True,False,True,False
RendKharabat56,True,False,True,False
Shadigh18,True,False,True,False
Rainmaker1973,True,False,True,False
rosa78412868,True,False,True,False
AzadiV19124,True,False,True,False
Melani18052417,True,False,True,False
RP_IR57,True,False,True,False
Parya6530,True,False,True,False
Babak169497,True,False,True,True
merlin_a_h,True,True,True,False
InfiniteLord6,True,False,True,False
EMohbbi,True,False,True,False
a_eslammanesh,True,False,True,False
Ariamehr92,True,False,True,False
orion_8926,True,False,True,False
kianomadi,True,False,True,False
Mohsen11872185,True,False,True,False
ahooraii1429096,True,False,True,False
BBCWorld,True,False,True,False
kwhyar89521,True,False,True,False
IranNewsAgency0,True,True,True,False
iraniangirl3725,True,False,True,False
ChukChain,True,False,True,False
Tara1576,True,False,True,False
realshadmehrr,True,False,True,False
IRAN_javid2500,True,False,True,False
GardSrbaz27658,True,False,True,False
mazot135,True,False,True,True
JBun06Jl0r1379,True,False,True,False
lexi__princess,True,True,True,False
Babak19700,True,False,True,False
Patelindianlion,True,False,True,True
longliveiran401,True,False,True,False
rebeka202589053,True,False,True,False
azad123643,True,False,True,False
ap_sahel67,True,False,True,True
realpreston714,True,False,True,False
zareeireza5,True,False,True,False
omid_133A,True,True,True,False
maryan1810,True,True,True,False
AJEnglish,True,False,True,False
azar87020677,True,False,True,False
AMIRAmi47246274,True,False,True,False
AzadiIran332846,True,False,True,False
Benton__Fraser,True,False,True,False
Shally29884255,True,False,True,False
JKharazmi53629,True,False,True,False
Fariba23581280,True,False,True,False
Baraye_Azadi_,True,True,True,False
abwalfdl_a25383,True,False,True,False
Newsweek,True,False,True,False
mandaliov118,True,False,True,False
m_kwthr,True,False,True,True
albiladpress,True,False,True,False
pahlavi3393,True,False,True,True
Kourosh634,True,True,True,False
senatorpersia,True,False,True,False
hich9922,True,False,True,True
RadicalSatanist,True,False,True,False
4WomLifeFreeDom,True,False,True,False
seyedMuostafa,True,True,True,False
Mia795806987870,True,False,True,False
sadeghi1401,True,False,True,False
Cherry__Cherr,True,False,True,False
Sssccpp,True,True,True,False
_aastik_ladki,True,False,True,False
RasaneyeShah,True,False,True,True
chelpaseh,True,False,True,False
LaleasorkhJahan,True,False,True,False
Raha_B_E_1,True,True,True,True
Tinaaa2048,True,True,True,False
mjbanaie1341,True,False,True,False
cherkmord,True,False,True,False
KaraMohamm83702,True,False,True,False
JBehieh,True,True,True,True
Christy4Change,True,False,True,False
2EWq3UMdP984rw3,True,False,True,False
navidi49,True,True,True,False
lili_n2022,True,False,True,True
bagaoylebakma,True,False,True,False
Behnaz28,True,False,True,False
delkook5889,True,False,True,False
Azar_Javidan,True,False,True,False
iranianpappppi3,True,True,True,False
SefidBarrfii,True,False,True,False
HerSereneLibre,True,False,True,False
dragoonIran,True,False,True,False
leila72133003,True,False,True,False
MohamadSHAHnaam,True,False,True,False
Nasimedegar,True,False,True,False
Hima777_,True,False,True,False
MAHNIKAchan,True,False,True,False
starSat13467,True,False,True,False
HaMohajer,True,False,True,False
akhondkhafekon,True,False,True,True
xxxwwwji,True,False,True,False
LoueiRaz,True,False,True,False
Pahlavi0211,True,False,True,False
MajorTomGOLD,True,False,True,False
kor_zagros,True,False,True,False
beghaiil,True,False,True,True
JJtheestallion1,True,False,True,True
JavidShahansha,True,True,True,False
ImNoor255,True,False,True,False
ganga_madam,True,False,True,False
Sepehr21281537,True,False,True,False
Juliet_Speaks,True,False,True,False
Tondar1985,True,True,True,False
Og_zade,True,False,True,False
30_morgh_,True,False,True,False
tanha1358,True,True,True,False
farvahar2023,True,True,True,False
changeIran2583s,True,False,True,False
bahram32136719,True,False,True,False
David8Alexander,True,False,True,False
janminajan,True,False,True,False
SHuARi99,True,False,True,False
YarabAydad,True,True,True,False
Ramin_Langerudi,True,False,True,False
flora943,True,False,True,False
Hatam1652935,True,False,True,False
parysa_02,True,False,True,False
AkbarK65004,True,False,True,False
KashvadeganG,True,False,True,False
Freedom_of_IR,True,True,True,False
afarehdokh59805,True,False,True,True
Andreafreedom76,True,False,True,False
majid53866855,True,True,True,False
Secolaic,True,False,True,False
haj_kas,True,False,True,False
jimy1__neutron,True,False,True,False
b2Kaveh,True,True,True,False
Iranazadamman,True,False,True,False
SorenaFree,True,False,True,False
MCMT2022,True,False,True,False
Shawn_J63,True,False,True,False
Oliver_jzy,True,True,True,False
SHAHSHENAS2577,True,False,True,False
Rafaelsarmad,True,False,True,False
