screen_name,tweet_count
thetwelfth_Imam,3
tomasshellllby,32
trollsiasi,57
trumppersia,7
twittbirds7,9
unikador,36
unknownproteste,426
upuouo,15
vahid__bahman,6
vahid_esmaeilii,5
vajname,1
vanheda97,21
venus133333,341
voltaireiran,183
wilma890,2
xBx73mOl77qBATH,414
yYh8x5hC6nxh1Wd,26
yaamaashitaa,53
yalnizkartal041,2
ybensnkr888,103
yebekhe,2
yekta52341478,9
young_sheldon1,2
zahra_hp_1,1
zarei_arad,2
zarin_farzad,4
zhina2019,1
zhiyan_shah,166
zone7689,13
zootopiazz,3
